theta,v_w,H,pilot_kappa,s_vw_fit,p_fit,q_fit,kappa_fit,lambda_fit,A0_theta_fit,A_eff_fit,rel_rmse
1.832595714594046,0.5,0.5,1.2231999999998655,0.17721569422477954,3.2461426726972884,2.0,0.2167702371757265,2.036864678470258,1.054589382258309,0.11114682975073456,0.08901562884328992
1.832595714594046,0.5,1.0,0.9859999999998968,0.17721569422477954,3.2461426726972884,2.0,0.17473467450561433,2.036864678470258,1.054589382258309,0.11114682975073456,0.018724969014148954
1.832595714594046,0.5,1.5,0.8747999999999265,0.17721569422477954,3.2461426726972884,2.0,0.1550282893078241,2.036864678470258,1.054589382258309,0.11114682975073456,0.020088003388012445
1.832595714594046,0.5,2.0,0.7723999999999503,0.17721569422477954,3.2461426726972884,2.0,0.1368814022192109,2.036864678470258,1.054589382258309,0.11114682975073456,0.04366966819738084
1.832595714594046,0.7,0.05,2.355920000004972,0.2500414256406645,3.2461426726972884,2.0,0.5890775954965974,2.036864678470258,1.054589382258309,0.33132143378602746,0.13901554444470227
1.832595714594046,0.7,0.1,2.2651999999997505,0.2500414256406645,3.2461426726972884,2.0,0.5663938373611709,2.036864678470258,1.054589382258309,0.33132143378602746,0.049195899256840495
1.832595714594046,0.7,0.2,1.9930399999997803,0.2500414256406645,3.2461426726972884,2.0,0.49834256295881507,2.036864678470258,1.054589382258309,0.33132143378602746,0.11711123712464504
1.832595714594046,0.7,0.5,1.5735999999998267,0.2500414256406645,3.2461426726972884,2.0,0.3934651873881063,2.036864678470258,1.054589382258309,0.33132143378602746,0.04177981973154817
1.832595714594046,0.7,1.0,1.2812799999998663,0.2500414256406645,3.2461426726972884,2.0,0.3203730778448372,2.036864678470258,1.054589382258309,0.33132143378602746,0.009133827122449185
1.832595714594046,0.7,1.5,1.143519999999906,0.2500414256406645,3.2461426726972884,2.0,0.2859273710485892,2.036864678470258,1.054589382258309,0.33132143378602746,0.013483169788070588
1.832595714594046,0.7,2.0,1.013599999999938,0.2500414256406645,3.2461426726972884,2.0,0.25344198902936205,2.036864678470258,1.054589382258309,0.33132143378602746,0.015004400947152984
1.832595714594046,0.9,0.05,2.773440000005853,0.37230612488506104,3.2461426726972884,2.0,0.8,2.036864678470258,1.054589382258309,0.7491142384065073,0.13378969224807702
