Hb,vw,theta0,tau_n,mass_on_tau,t_trig,kappa
0.0018873918221350976,0.7,2.879793265790644,529.8316906283708,529.8316906283708,535.8596906285709,4.219600000140076
0.002592943797404667,0.7,2.879793265790644,385.66204211634727,385.66204211634727,391.68604211654724,4.216800000139983
0.003562247890262444,0.7,2.879793265790644,280.72162039411756,280.72162039411756,286.72242039431677,4.200560000139443
0.004893900918477494,0.7,2.879793265790644,204.33597178569417,204.33597178569417,210.31277178568024,4.183759999990249
0.006723357536499335,0.7,2.879793265790644,148.7352107293512,148.7352107293512,154.68401072933733,4.164159999990295
0.009236708571873866,0.7,2.879793265790644,108.2636733874054,108.2636733874054,114.16527338739165,4.131119999990372
0.01268961003167922,0.7,2.879793265790644,78.80462815669912,78.80462815669912,84.6526281566855,4.0935999999904595
0.017433288221999882,0.7,2.879793265790644,57.36152510448679,57.36152510448679,63.134325104473334,4.040959999990582
0.02395026619987486,0.7,2.879793265790644,41.753189365604,41.753189365604,47.43878936559075,3.979919999990724
0.03290344562312668,0.7,2.879793265790644,30.391953823131978,30.391953823131978,35.95115382312616,3.8914399999959293
0.04520353656360243,0.7,2.879793265790644,22.12216291070449,22.12216291070449,27.523762910715888,3.781120000007979
0.06210169418915616,0.7,2.879793265790644,16.102620275609393,16.102620275609393,21.30902027562038,3.644480000007691
0.08531678524172806,0.7,2.879793265790644,11.721022975334805,11.721022975334805,16.697822975335807,3.483760000000702
0.11721022975334805,0.7,2.879793265790644,8.531678524172806,8.531678524172806,13.245278524172287,3.2995199999996365
0.16102620275609392,0.7,2.879793265790644,6.2101694189156165,6.2101694189156165,10.626169418915131,3.09119999999966
0.2212216291070448,0.7,2.879793265790644,4.520353656360245,4.520353656360245,8.618753656359795,2.8688799999996846
0.3039195382313198,0.7,2.879793265790644,3.2903445623126677,3.2903445623126677,7.055144562312253,2.6353599999997095
0.41753189365604004,0.7,2.879793265790644,2.395026619987486,2.395026619987486,5.820626619987109,2.397919999999736
0.5736152510448681,0.7,2.879793265790644,1.7433288221999874,1.7433288221999874,4.833728822199648,2.1632799999997623
0.7880462815669912,0.7,2.879793265790644,1.2689610031679222,1.2689610031679222,4.036161003167618,1.9370399999997872
1.0826367338740541,0.7,2.879793265790644,0.9236708571873865,0.9236708571873865,3.384470857187126,1.7225599999998176
1.4873521072935119,0.7,2.879793265790644,0.6723357536499335,0.6723357536499335,2.8483357536497396,1.5231999999998642
2.0433597178569416,0.7,2.879793265790644,0.48939009184774945,0.48939009184774945,2.4029900918476095,1.339519999999902
2.8072162039411754,0.7,2.879793265790644,0.35622478902624444,0.35622478902624444,2.032224789026149,1.1731999999999332
3.856620421163472,0.7,2.879793265790644,0.2592943797404667,0.2592943797404667,1.7216943797404083,1.023679999999959
